Company,Year,Revenue (B USD),Change (%)
QUALCOMM,1998,3.50,40.51
QUALCOMM,1997,2.49,136.03
QUALCOMM,1996,1.05,
ASML,2025,33.05,8.77
ASML,2024,30.38,1.55
ASML,2023,29.92,34.81
ASML,2022,22.19,2.62
ASML,2021,21.62,32.58
ASML,2020,16.31,23.41
ASML,2019,13.21,2.9
ASML,2018,12.84,23.2
ASML,2017,10.42,39.23
ASML,2016,7.48,7.68
ASML,2015,6.95,-9.18
ASML,2014,7.65,9.1
ASML,2013,7.01,14
ASML,2012,6.15,-21.25
ASML,2011,7.81,31.74
ASML,2010,5.93,160.66
ASML,2009,2.27,-48.98
ASML,2008,4.46,-15.23
ASML,2007,5.26,14.69
ASML,2006,4.59,48.18
ASML,2005,3.09,-1
ASML,2004,3.12,73.07
ASML,2003,1.80,-16.66
ASML,2002,2.16,29.99
ASML,2001,1.66,-13.79
ASML,2000,1.93,55
ASML,1999,1.24,31.42
ASML,1998,0.95,6.34
ASML,1997,0.89,26.63
ASML,1996,0.70,
Micron Technology,2025,31.32,7.66
Micron Technology,2024,29.09,79.8
Micron Technology,2023,16.18,-40.41
Micron Technology,2022,27.15,-8.32
Micron Technology,2021,29.61,34.24
Micron Technology,2020,22.06,6.91
Micron Technology,2019,20.63,-34.49
Micron Technology,2018,31.50,36.04
Micron Technology,2017,23.15,77.86
Micron Technology,2016,13.01,-13.03
Micron Technology,2015,14.96,-11.37
Micron Technology,2014,16.88,49.71
Micron Technology,2013,11.28,41.4
Micron Technology,2012,7.97,-7.51
Micron Technology,2011,8.62,-4.09
Micron Technology,2010,8.99,74.95
Micron Technology,2009,5.14,-9.93
Micron Technology,2008,5.70,0.26
Micron Technology,2007,5.69,4.65
Micron Technology,2006,5.44,9.2
Micron Technology,2005,4.98,9.31
Micron Technology,2004,4.55,29.71
Micron Technology,2003,3.51,23.27
Micron Technology,2002,2.85,2.22
Micron Technology,2001,2.78,-59.32
Micron Technology,2000,6.85,50.49
Micron Technology,1999,4.55,59.18
Micron Technology,1998,2.86,-23.59
Micron Technology,1997,3.74,17.16
Micron Technology,1996,3.19,
Applied Materials,2025,28.08,1.64
Applied Materials,2024,27.63,4.34
Applied Materials,2023,26.48,0.88
Applied Materials,2022,26.25,8.61
Applied Materials,2021,24.17,32.8
Applied Materials,2020,18.20,21.21
Applied Materials,2019,15.01,-9.03
Applied Materials,2018,16.50,6.75
Applied Materials,2017,15.46,30.54
Applied Materials,2016,11.84,23.95
Applied Materials,2015,9.55,3.42
Applied Materials,2014,9.24,13.72
Applied Materials,2013,8.12,0.28
Applied Materials,2012,8.10,-19.12
Applied Materials,2011,10.01,-3.54
Applied Materials,2010,10.38,87.85
Applied Materials,2009,5.52,-25.03
Applied Materials,2008,7.37,-22.73
Applied Materials,2007,9.54,-0.44
Applied Materials,2006,9.58,35.62
